procedure_name,price,notes
Teeth Whitening,250,Professional bleaching session
Root Canal Treatment,500,Single tooth root canal
Dental Implant,1500,Full titanium implant with crown
Teeth Cleaning,80,Ultrasonic scaling and polishing
Tooth Extraction,120,Simple surgical extraction
Dental Braces,2000,Metal braces full treatment
Porcelain Veneers,900,Per tooth ceramic veneer
Cavity Filling,150,Composite resin filling
Dental Crown,600,Zirconia crown placement
Gum Treatment,300,Periodontal deep cleaning
